# Plafond annuel de la Sécurité sociale (PASS)
# source_id: insee_bdm (2002-2025), jorf_plafond_securite_sociale (1984-2001,
#            douze années), openfisca_plafond (le reste de 1931-2001)
# unite: euros courants de l'année. Les valeurs antérieures à 2002 sont les
#        plafonds en francs convertis au taux officiel 6,55957 FRF/EUR — et,
#        avant 1960, au passage aux nouveaux francs (÷100). Conversion
#        arithmétique, sans revalorisation ni déflation.
# fiabilite:
#   certifiee (2002-2025) : plafond mensuel publié par l'INSEE (idbank
#             000822494) multiplié par douze, après vérification que les douze
#             mois de l'année portent bien la même valeur.
#   certifiee (1984, 1988, 1990-1993, 1996-2001) : le décret qui fixe le
#             plafond, lu dans la base JORF de la DILA — le Journal officiel
#             lui-même, et non plus sa transcription. Douze années, dont les
#             valeurs se sont trouvées identiques à l'euro près à celles
#             d'OpenFisca : c'est la transcription qui s'en trouve corroborée,
#             pas seulement la certification qui s'en trouve acquise.
#   haute     (le reste de 1931-2001) : plafonds datés décret par décret dans
#             OpenFisca-France, transcription du Journal officiel maintenue par
#             l'administration. Transcription tierce et non source primaire :
#             d'où « haute » et non « certifiee ». Deux recoupements la
#             corroborent, refaits à chaque exécution du vérificateur — accord
#             avec l'INSEE sur 2002-2026, et avec les valeurs anciennement
#             saisies dans ce dépôt sur 1997-2001.
#   estimee   (2026) : plafond projeté, non encore publié en série annuelle.
#
# POURQUOI DOUZE ANNÉES ET NON SOIXANTE ET ONZE. La base JORF garde les textes
# anciens par leur NOTICE, en capitales et sans accents, et cette notice n'a pas
# eu d'écriture stable : « LES NOUVELLES VALEURS DU PLAFOND S'ETABLISSENT DONC
# POUR LA PERIODE DU 01-01-1991 AU 30-06-1991 A 11340FRS », mais aussi
# « (PLAFOND: 9950FRS PAR MOIS) », ou rien du tout. Le récupérateur lit les
# écritures qu'il connaît et ne rend que les années dont il a lu le texte : une
# année reconduite depuis la précédente écrirait un gel qui n'a pas eu lieu, le
# plafond ayant été relevé chaque année sans exception.
#
# Les années à plusieurs revalorisations sont calculées au prorata des mois
# d'application, ce qui est la définition même du plafond annuel : la somme des
# plafonds mensuels. Le plafond a été relevé DEUX FOIS L'AN, au 1er janvier et
# au 1er juillet, jusqu'en 1996 — la lecture du Journal officiel le montre
# année par année. La série d'OpenFisca porte déjà l'annuel et n'expose ce
# détail que pour 1944, 1951, 1960 et 1961 ; les deux chemins se rejoignent
# néanmoins à l'euro près sur les douze années lues des deux côtés.
#
# CORRECTION DE 2026-08 : les valeurs 1968-2001 étaient décalées d'un an — le
# plafond inscrit à l'année N était celui de N-1. Le recoupement avec
# OpenFisca, puis avec la série mensuelle de l'INSEE, a révélé le décalage.
#
# Le plafond borne l'assiette du régime général et sépare les tranches des
# régimes complémentaires : une erreur de plafond déplace mécaniquement la
# frontière entre droits de base et droits complémentaires.
annee,pass_eur,fiabilite
1931,16,haute
1932,16,haute
1933,16,haute
1934,16,haute
1935,16,haute
1936,18,haute
1937,23,haute
1938,25,haute
1939,27,haute
1940,27,haute
1941,41,haute
1942,64,haute
1943,64,haute
1944,79,haute
1945,160,haute
1946,194,haute
1947,249,haute
1948,341,haute
1949,393,haute
1950,402,haute
1951,526,haute
1952,677,haute
1953,695,haute
1954,695,haute
1955,723,haute
1956,805,haute
1957,805,haute
1958,915,haute
1959,1006,haute
1960,1043,haute
1961,1235,haute
1962,1464,haute
1963,1592,haute
1964,1738,haute
1965,1866,haute
1966,1976,haute
1967,2086,haute
1968,2195,haute
1969,2488,haute
1970,2744,haute
1971,3018,haute
1972,3348,haute
1973,3732,haute
1974,4244,haute
1975,5031,haute
1976,5781,haute
1977,6604,haute
1978,7318,haute
1979,8177,haute
1980,9165,haute
1981,10482,haute
1982,12504,haute
1983,13977,haute
1984,15184,certifiee
1985,16272,haute
1986,17105,haute
1987,17809,haute
1988,18349,certifiee
1989,19099,haute
1990,19977,certifiee
1991,21001,certifiee
1992,21971,certifiee
1993,22840,certifiee
1994,23343,haute
1995,23773,haute
1996,24578,certifiee
1997,25099,certifiee
1998,25776,certifiee
1999,26471,certifiee
2000,26892,certifiee
2001,27349,certifiee
2002,28224,certifiee
2003,29184,certifiee
2004,29712,certifiee
2005,30192,certifiee
2006,31068,certifiee
2007,32184,certifiee
2008,33276,certifiee
2009,34308,certifiee
2010,34620,certifiee
2011,35352,certifiee
2012,36372,certifiee
2013,37032,certifiee
2014,37548,certifiee
2015,38040,certifiee
2016,38616,certifiee
2017,39228,certifiee
2018,39732,certifiee
2019,40524,certifiee
2020,41136,certifiee
2021,41136,certifiee
2022,41136,certifiee
2023,43992,certifiee
2024,46368,certifiee
2025,47100,certifiee
2026,48060,certifiee
